# Ideographic Description Sequences (IDS) for CJK Unified Ideographs Extension J
# Supplement to BabelStone IDS.TXT <https://babelstone.co.uk/CJK/IDS.TXT>, whose last release covers
#	Unicode 16.0 and stops at U+323AF; this file covers the block the former does not.
# File Encoding: UTF-8 with BOM and CR/LF
# Unicode Version: 17.0 (September 2025)
# Total entries: 4,298
#
# The format, the component conventions (sections 5 to 9) and the numbered unencoded components ({n}) are
#	those of IDS.TXT; see its header.
#
# Sources:
#	The IDS column of the IRG Working Set 2021 (v7.0) review database <https://hc.jsecs.org/irg/ws2021/app/>,
#	from which Extension J was encoded, mapped to code points through the kIRG_*Source references of Unihan,
#	normalized to the IDS.TXT conventions, and checked character by character against the source glyphs of
#	the Unicode code charts. Source letters are those of IDS.TXT section 8.
#
# Kang Seonghoon is the sole author of this database and waives all rights to it as per IDS.TXT.
# Claude Opus 5.5 was used to semi-automatically prepare this database.
#
# CJK Unified Ideographs Extension J (4,298 characters)
# 4,298 characters added in Unicode version 17.0 (September 2025)
U+323B0	𲎰	^⿻丅𠃍$(U)
U+32818	𲠘	^⿰忄徐$(V)
U+32819	𲠙	^⿱𬀴心$(T)
U+3281A	𲠚	^⿱記心$(T)
U+3281B	𲠛	^⿰怠丙$(V)
U+3281C	𲠜	^⿰忄欶$(T)
U+3281D	𲠝	^⿱𱡘心$(GB)
U+3281E	𲠞	^⿰忄𱑏$(V)
U+3281F	𲠟	^⿰息矢$(V)
U+32820	𲠠	^⿰忄竟$(T)
U+32821	𲠡	^⿰忄屚$(G)
U+32822	𲠢	^⿰忄超$(T)
U+32823	𲠣	^⿰忄雅$(T)
U+32824	𲠤	^⿱散心$(B)
U+32825	𲠥	^⿰忄絜$(B)
U+32826	𲠦	^⿰忄⿱央貝$(S)
U+32827	𲠧	^⿱中惢$(T)
U+32828	𲠨	^⿱跋心$(U)
U+32829	𲠩	^〾⿰忄𫒀$(T)
U+3282A	𲠪	^⿰忄備$(V)
U+3282B	𲠫	^⿰忄阑$(V)
U+3282C	𲠬	^⿱鼓心$(B)
U+3282D	𲠭	^⿰𢪀息$(V)
U+3282E	𲠮	^⿰南念$(V)
U+3282F	𲠯	^⿰忄盞$(V)
U+32830	𲠰	^⿰忄暗$(G)
U+32831	𲠱	^⿱當心$(B)
U+32832	𲠲	^⿰忄盟$(UB)
U+32833	𲠳	^⿰忄虞$(V)
U+32834	𲠴	^⿱锡心$(B)
U+32835	𲠵	^⿰忄傾$(V)
U+32836	𲠶	^⿱稚心$(V)
U+32837	𲠷	^⿰育思$(T)
U+32838	𲠸	^⿰总叕$(V)
U+32839	𲠹	^⿱悁忘$(V)
U+3283A	𲠺	^⿰忄䦚$(T)
U+3283B	𲠻	^〾⿱蒜心$(T)
U+3283C	𲠼	^⿰忄⿱宷日$(K)
U+3283D	𲠽	^⿱⿰爽攵心$(T)
U+3283E	𲠾	^⿱⿰爽欠心$(T)
U+3283F	𲠿	^⿱數心$(T)
U+32840	𲡀	^⿰忄誾$(T)
U+32841	𲡁	^⿰倍急$(V)
U+32842	𲡂	^⿱論心$(U)
U+32843	𲡃	^⿰𭁈惡$(V)
U+32844	𲡄	^⿱錫心$(GU)
U+32845	𲡅	^⿰愛免$(V)
U+32846	𲡆	^⿱⿰車貢心$(T)
U+32847	𲡇	^⿰其愚$(V)
U+32848	𲡈	^⿰垂愈$(V)
U+32849	𲡉	^⿰愚㚇$(G)
U+3284A	𲡊	^⿰忄壘$(T)
U+3284B	𲡋	^⿰忄𱶫$(S)
U+3284C	𲡌	^⿱勸心$(B)
U+3284D	𲡍	^⿰忄籌$(T)
U+3284E	𲡎	^⿹𢦏𡉀$(B)
U+3284F	𲡏	^⿰冫⿵戊占$(B)
U+32850	𲡐	^⿰春戈$(T)
U+32851	𲡑	^⿱年成$(V)
U+32852	𲡒	^⿰豈戈$(T)
U+32853	𲡓	^⿱些我$(V)
U+32854	𲡔	^⿰戒粦$(V)
U+32855	𲡕	^⿰蓁戒$(V)
U+32856	𲡖	^⿰所住$(V)
U+32857	𲡗	^⿰扁别$(G)
U+32858	𲡘	^⿰扇束$(V)
U+32859	𲡙	^⿰扌川$(GT)
U+3285A	𲡚	^⿰扌历$(G)
U+3285B	𲡛	^⿱切手$(GUB)
U+3285C	𲡜	^⿰扌五$(B)
U+3285D	𲡝	^⿰扌贝$(B)
U+3285E	𲡞	^⿰扌见$(B)
U+3285F	𲡟	^⿱孔手$(G)
U+32860	𲡠	^⿰扌卉$(GTKU)
U+32861	𲡡	^⿰扌厉$(B)
U+32862	𲡢	^⿰扌囚$(V)
U+32863	𲡣	^⿰扌生$(GV)
U+32864	𲡤	^⿱他手$(T)
U+32865	𲡥	^⿰扌刋$(B)
U+32866	𲡦	^⿱队手$(B)
U+32867	𲡧	^⿱弗手$(GUB)
U+32868	𲡨	^⿰龵夸$(B)
U+32869	𲡩	^⿰扌地$(V)
U+3286A	𲡪	^⿰扌⿳𠆢巛一$(S)
U+3286B	𲡫	^⿰扌込$(U)
U+3286C	𲡬	^⿱论手$(B)
U+3286D	𲡭	^⿰手决$(V)
U+3286E	𲡮	^⿰手江$(V)
U+3286F	𲡯	^⿰扌声$(G)
U+32870	𲡰	^⿳去冖手$(GS)
U+32871	𲡱	^⿰扌⿱木女$(S)
U+32872	𲡲	^⿰扌⿴囗攴$(S)
U+32873	𲡳	^⿰手吹$(V)
U+32874	𲡴	^⿰扌肝$(G)
U+32875	𲡵	^⿰扌间$(GB)
U+32876	𲡶	^⿰扌闲$(V)
U+32877	𲡷	^⿰扌𫔭$(V)
U+32878	𲡸	^⿰扌阶$(B)
U+32879	𲡹	^⿰扌往$(G)
U+3287A	𲡺	^⿰手制$(V)
U+3287B	𲡻	^⿱泼手$(B)
U+3287C	𲡼	^⿰扌厘$(G)
U+3287D	𲡽	^⿰扌勃$(B)
U+3287E	𲡾	^⿰扌匧$(V)
U+3287F	𲡿	^⿰扌栈$(V)
U+32880	𲢀	^⿰扌⿱日弗$(S)
U+32881	𲢁	^⿰扌爯$(S)
U+32882	𲢂	^⿰扌神$(G)
U+32883	𲢃	^⿱𠔉𠰅$(S)
U+32884	𲢄	^⿰扌庠$(S)
U+32885	𲢅	^⿰扌⿺兑厶$(T)
U+32886	𲢆	^⿰扌𱒢$(V)
U+32887	𲢇	^⿰扌哥$(G)
U+32888	𲢈	^⿰扌厝$(T)
U+32889	𲢉	^⿰扌唇$(T)
U+3288A	𲢊	^⿰扌晒$(GU)
U+3288B	𲢋	^⿰手罢$(V)
U+3288C	𲢌	^⿰手骨$(V)
U+3288D	𲢍	^⿰扌耸$(B)
U+3288E	𲢎	^⿰扌缺$(V)
U+3288F	𲢏	^⿰扌家$(B)
U+32890	𲢐	^⿰扌涩$(V)
U+32891	𲢑	^⿰扌訕$(V)
U+32892	𲢒	^⿱海手$(V)
U+32893	𲢓	^⿰扌⿱改口$(V)
U+32894	𲢔	^⿰扌娘$(V)
U+32895	𲢕	^⿰扌責$(T)
U+32896	𲢖	^⿺吏拜$(V)
U+32897	𲢗	^⿰扌唱$(G)
U+32898	𲢘	^⿰扌莎$(S)
U+32899	𲢙	^⿰扌荷$(T)
U+3289A	𲢚	^⿰扌崇$(V)
U+3289B	𲢛	^⿰扌𦰟$(V)
U+3289C	𲢜	^⿰扌笮$(B)
U+3289D	𲢝	^⿱折忌$(V)
U+3289E	𲢞	^⿰扌⿱並弓$(T)
U+3289F	𲢟	^⿰扌庵$(GUB)
U+328A0	𲢠	^⿰扌斎$(V)
U+328A1	𲢡	^⿰扌⿰氵⿱白工$(V)
U+328A2	𲢢	^⿰扌粘$(V)
U+328A3	𲢣	^⿰扌𡨸$(V)
U+328A4	𲢤	^⿰扌𱱇$(V)
U+328A5	𲢥	^⿰扌⿷匸晏$(T)
U+328A6	𲢦	^⿰扌𠥔$(B)
U+328A7	𲢧	^⿰扌琶$(B)
U+328A8	𲢨	^⿱枝折$(V)
U+328A9	𲢩	^⿰扌萌$(G)
U+328AA	𲢪	^⿰扌⿱𠔿直$(S)
U+328AB	𲢫	^⿰扌幂$(UB)
U+328AC	𲢬	^⿰扌⿱𰀢見$(V)
U+328AD	𲢭	^⿰扌圍$(V)
U+328AE	𲢮	^⿰扌敞$(V)
U+328AF	𲢯	^⿰扌⿳丿罒⿻一氺$(S)
U+328B0	𲢰	^⿰扌掱$(T)
U+328B1	𲢱	^⿱⿰合合手$(T)
U+328B2	𲢲	^⿰手無$(V)
U+328B3	𲢳	^⿰扌貂$(V)
U+328B4	𲢴	^⿰扌⿱⿳亠丷冖虫$(G)
U+328B5	𲢵	^⿰扌湥$(V)
U+328B6	𲢶	^⿱隊手$(GU)
U+328B7	𲢷	^⿱靴手$(GUB)
U+328B8	𲢸	^⿰扌跟$(G)
U+328B9	𲢹	^⿰扌罨$(GUB)
U+328BA	𲢺	^⿰扌跳$(V)
U+328BB	𲢻	^⿰扌頎$(K)
U+328BC	𲢼	^⿰扌亂$(T)
U+328BD	𲢽	^⿰扌愛$(T)
U+328BE	𲢾	^⿰扌𥭗$(T)
U+328BF	𲢿	^⿰扌鼠$(UB)
U+328C0	𲣀	^⿰扌傾$(V)
U+328C1	𲣁	^⿰扌麀$(G)
U+328C2	𲣂	^⿰扌廋$(S)
U+328C3	𲣃	^⿰扌補$(V)
U+328C4	𲣄	^⿰扌經$(U)
U+328C5	𲣅	^⿰拙奉$(V)
U+328C6	𲣆	^⿰扌𡼁$(S)
U+328C7	𲣇	^⿰扌蒼$(T)
U+328C8	𲣈	^⿰扌裳$(U)
U+328C9	𲣉	^⿰扌夢$(V)
U+328CA	𲣊	^⿰扌蒸$(V)
U+328CB	𲣋	^⿰扌管$(G)
U+328CC	𲣌	^⿰扌銀$(T)
U+328CD	𲣍	^⿰扌䈁$(T)
U+328CE	𲣎	^⿰扌敲$(V)
U+328CF	𲣏	^⿰扌厲$(TU)
U+328D0	𲣐	^⿰扌槮$(V)
U+328D1	𲣑	^⿰扌閱$(T)
U+328D2	𲣒	^⿱蓺手$(T)
U+328D3	𲣓	^⿰捠咅$(U)
U+328D4	𲣔	^⿰扌箴$(V)
U+328D5	𲣕	^⿰扌輩$(V)
U+328D6	𲣖	^⿰扌餒$(V)
U+328D7	𲣗	^⿱論手$(U)
U+328D8	𲣘	^⿱潑手$(U)
U+328D9	𲣙	^⿰扌劈$(U)
U+328DA	𲣚	^⿰扌熨$(U)
U+328DB	𲣛	^⿰扌覩$(V)
U+328DC	𲣜	^⿰扌𬞕$(V)
U+328DD	𲣝	^⿰扌噲$(V)
U+328DE	𲣞	^⿰扌蹅$(V)
U+328DF	𲣟	^⿰手彊$(V)
U+328E0	𲣠	^⿰扌虧$(V)
U+328E1	𲣡	^⿰扌獲$(T)
U+328E2	𲣢	^⿰扌⿱𥫗祭$(T)
U+328E3	𲣣	^⿰扌賽$(T)
U+328E4	𲣤	^⿰扌甕$(GU)
U+328E5	𲣥	^⿰扌⿱𠂢𠃄$(T)
U+328E6	𲣦	^⿰扌艶$(V)
U+328E7	𲣧	^⿰扌囂$(B)
U+328E8	𲣨	^⿰扌讖$(V)
U+328E9	𲣩	^⿰扌觀$(S)
U+328EA	𲣪	^⿰令支$(T)
U+328EB	𲣫	^⿺支㐱$(B)
U+328EC	𲣬	^⿰兊支$(S)
U+328ED	𲣭	^⿰支离$(V)
U+328EE	𲣮	^⿰𭓇攴$(V)
U+328EF	𲣯	^⿰翌攵$(K)
U+328F0	𲣰	^⿱巴数$(V)
U+328F1	𲣱	^⿰數巴$(V)
U+328F2	𲣲	^⿱敗俞$(V)
U+328F3	𲣳	^⿰文尤$(T)
U+328F4	𲣴	^⿰臣文$(T)
U+328F5	𲣵	^⿰文臣$(T)
U+328F6	𲣶	^⿰文尽$(B)
U+328F7	𲣷	^⿱文赤$(B)
U+328F8	𲣸	^⿰㪯巨$(V)
U+328F9	𲣹	^⿰文閔$(S)
U+328FA	𲣺	^⿰文粦$(B)
U+328FB	𲣻	^⿰文盡$(GU)
U+328FC	𲣼	^⿱𦥯𫿱$(T)
U+328FD	𲣽	^⿰古斗$(T)
U+328FE	𲣾	^⿺更斗$(B)
U+328FF	𲣿	^⿰䨾斗$(S)
U+32900	𲤀	^⿰高斤$(T)
U+32901	𲤁	^⿱不断$(G)
U+32902	𲤂	^⿱占斬$(V)
U+32903	𲤃	^⿰方⿱𠂉亢$(B)	^⿸𭤨亢$(X)
U+32904	𲤄	^⿰方便$(T)
U+32905	𲤅	^⿰方⿱𮕦一$(B)
U+32906	𲤆	^⿰方⿱𠂉虎$(K)	^⿸𭤨虎$(X)
U+32907	𲤇	^⿰方買$(V)
U+32908	𲤈	^⿰方無$(B)
U+32909	𲤉	^⿰方葻$(V)
U+3290A	𲤊	^⿰方罂$(B)
U+3290B	𲤋	^⿰方罌$(GU)
U+3290C	𲤌	^⿺旡彡$(T)
U+3290D	𲤍	^⿱旡夊$(U)
U+3290E	𲤎	^⿱兓旦$(T)
U+3290F	𲤏	^⿰日土$(T)
U+32910	𲤐	^⿰日兮$(T)
U+32911	𲤑	^⿰日尺$(T)
U+32912	𲤒	^⿰日瓦$(G)
U+32913	𲤓	^⿱丕日$(T)
U+32914	𲤔	^⿰日占$(G)
U+32915	𲤕	^⿰日⿱八亏$(T)
U+32916	𲤖	^⿰日斥$(T)
U+32917	𲤗	^⿰日皮$(B)
U+32918	𲤘	^⿱土时$(V)
U+32919	𲤙	^⿰日里$(B)
U+3291A	𲤚	^⿱日旴$(B)
U+3291B	𲤛	^⿰日⿱爫亐$(S)
U+3291C	𲤜	^⿰易也$(V)
U+3291D	𲤝	^⿱日沁$(V)
U+3291E	𲤞	^⿰日表$(T)
U+3291F	𲤟	^⿰日岸$(G)
U+32920	𲤠	^⿰日罔$(K)
U+32921	𲤡	^⿰日和$(K)
U+32922	𲤢	^⿰日彼$(V)
U+32923	𲤣	^⿰日咅$(T)
U+32924	𲤤	^⿰日虽$(G)
U+32925	𲤥	^⿰日耑$(B)
U+32926	𲤦	^⿰日怎$(G)
U+32927	𲤧	^⿰勿是$(B)
U+32928	𲤨	^⿰日待$(B)
U+32929	𲤩	^⿰易以$(V)
U+3292A	𲤪	^⿱祈日$(T)
U+3292B	𲤫	^⿰早周$(G)
U+3292C	𲤬	^⿰日泰$(T)
U+3292D	𲤭	^⿱日烈$(V)
U+3292E	𲤮	^⿱日班$(V)
U+3292F	𲤯	^⿰日荅$(B)
U+32930	𲤰	^⿰⿱日月多$(B)
U+32931	𲤱	^⿱光明$(V)
U+32932	𲤲	^⿰日兼$(T)
U+32933	𲤳	^⿺是早$(T)
U+32934	𲤴	^⿱日逐$(B)
U+32935	𲤵	^⿱日堂$(T)
U+32936	𲤶	^⿰日崗$(B)
U+32937	𲤷	^⿰日盘$(G)
U+32938	𲤸	^⿱日袞$(K)
U+32939	𲤹	^⿰日巢$(G)
U+3293A	𲤺	^⿺堯日$(T)
U+3293B	𲤻	^⿰日敟$(K)
U+3293C	𲤼	^⿰申𬀷$(S)
U+3293D	𲤽	^⿱日最$(V)
U+3293E	𲤾	^⿰星成$(T)
U+3293F	𲤿	^⿱日悲$(V)
U+32940	𲥀	^⿰日登$(B)
U+32941	𲥁	^⿱時徐$(V)
U+32942	𲥂	^⿰日萬$(T)
U+32943	𲥃	^⿰日當$(T)
U+32944	𲥄	^⿰日微$(T)
U+32945	𲥅	^⿰日禽$(UB)
U+32946	𲥆	^⿰姜明$(V)
U+32947	𲥇	^⿰日滛$(V)
U+32948	𲥈	^⿰日聚$(K)
U+32949	𲥉	^⿰日疑$(B)
U+3294A	𲥊	^⿰日榮$(B)
U+3294B	𲥋	^⿺是𢼸$(T)
U+3294C	𲥌	^⿰日⿻𰰜⿱从丛$(S)
U+3294D	𲥍	^⿰日𡼙$(B)
U+3294E	𲥎	^⿰日興$(V)
U+3294F	𲥏	^⿱日懺$(V)
U+32950	𲥐	^⿰日囊$(V)
U+32951	𲥑	^⿱曲𠃍$(K)
U+32952	𲥒	^⿰曲工$(V)
U+32953	𲥓	^⿰曳畏$(V)
U+32954	𲥔	^⿰會占$(V)
U+32955	𲥕	^⿺更焦$(T)
U+32956	𲥖	^⿰會聚$(V)
U+32957	𲥗	^⿻月八$(V)
U+32958	𲥘	^⿺支月$(S)
U+32959	𲥙	^⿰月孕$(V)
U+3295A	𲥚	^⿰月向$(T)
U+3295B	𲥛	^⿰月全$(T)
U+3295C	𲥜	^⿰月免$(V)
U+3295D	𲥝	^⿰月芳$(T)
U+3295E	𲥞	^⿰月㝵$(B)
U+3295F	𲥟	^⿰尚月$(V)
U+32960	𲥠	^⿰月征$(V)
U+32961	𲥡	^⿰月⿱𠂉其$(T)
U+32962	𲥢	^⿰月海$(G)
U+32963	𲥣	^⿰章月$(B)
U+32964	𲥤	^⿰月發$(G)
U+32965	𲥥	^⿰月嗇$(T)
U+32966	𲥦	^⿰月歆$(V)
U+32967	𲥧	^⿰産有$(V)
U+32968	𲥨	^⿰月署$(T)
U+32969	𲥩	^⿱朋寂$(B)
U+3296A	𲥪	^⿰望林$(V)
U+3296B	𲥫	^⿰月𫂐$(T)
U+3296C	𲥬	^⿰月⿱高羊$(S)
U+3296D	𲥭	^⿰月嚴$(T)
U+3296E	𲥮	^⿰木十$(G)
U+3296F	𲥯	^⿰木亍$(T)
U+32970	𲥰	^⿱朴𠃍$(K)
U+32971	𲥱	^⿰木勿$(B)
U+32972	𲥲	^⿰木𫠣$(V)
U+32973	𲥳	^⿰木𠕵$(S)
U+32974	𲥴	^⿰木凸$(T)
U+32975	𲥵	^⿰木外$(G)
U+32976	𲥶	^⿰木矢$(V)
U+32977	𲥷	^⿰木权$(S)
U+32978	𲥸	^⿰有木$(T)
U+32979	𲥹	^⿱至木$(T)
U+3297A	𲥺	^⿰木匠$(B)
U+3297B	𲥻	^⿱𠖲木$(T)
U+3297C	𲥼	^⿰木邚$(T)
U+3297D	𲥽	^⿰木𮕜$(B)
U+3297E	𲥾	^⿰木坎$(V)
U+3297F	𲥿	^⿱𣦼木$(T)
U+32980	𲦀	^⿰束匹$(V)
U+32981	𲦁	^⿲木夕木$(S)
U+32982	𲦂	^⿰木身$(S)
U+32983	𲦃	^⿲木彡木$(T)
U+32984	𲦄	^⿰木没$(G)
U+32985	𲦅	^⿰木𰿖$(G)
U+32986	𲦆	^⿲木犬木$(G)
U+32987	𲦇	^⿱拍木$(B)
U+32988	𲦈	^⿱直木$(B)
U+32989	𲦉	^⿰果文$(G)
U+3298A	𲦊	^⿰木𥄀$(B)
U+3298B	𲦋	^⿰木肥$(G)
U+3298C	𲦌	^⿲木⿿𠃛𠃛$(B)
U+3298D	𲦍	^⿰木匧$(S)
U+3298E	𲦎	^⿰木巷$(T)
U+3298F	𲦏	^⿰木𤯚$(B)
U+32990	𲦐	^⿰木𰦫$(V)
U+32991	𲦑	^⿰末季$(V)
U+32992	𲦒	^⿰木苔$(T)
U+32993	𲦓	^⿰木勉$(T)
U+32994	𲦔	^⿰季末$(V)
U+32995	𲦕	^⿰木侶$(V)
U+32996	𲦖	^⿰木阁$(G)
U+32997	𲦗	^⿰木弯$(G)
U+32998	𲦘	^⿰木⿱穴方$(T)
U+32999	𲦙	^⿰木秌$(T)
U+3299A	𲦚	^⿰架户$(G)
U+3299B	𲦛	^⿰木桓$(S)
U+3299C	𲦜	^⿰木茷$(S)
U+3299D	𲦝	^⿱杏杏$(T)
U+3299E	𲦞	^⿰木笑$(T)
U+3299F	𲦟	^⿱𨈕木$(T)
U+329A0	𲦠	^⿰木浪$(G)
U+329A1	𲦡	^⿰木烜$(T)
U+329A2	𲦢	^⿰木⿱巛囱$(T)
U+329A3	𲦣	^⿰本借$(G)
U+329A4	𲦤	^⿰木𦰩$(S)
U+329A5	𲦥	^⿰木⿱共未$(S)
U+329A6	𲦦	^⿰木⿱林彡$(T)
U+329A7	𲦧	^⿲木豆木$(GB)
U+329A8	𲦨	^⿰木唯$(V)
U+329A9	𲦩	^⿱船木$(T)
U+329AA	𲦪	^⿰木⿳𰁜一𧘇$(S)
U+329AB	𲦫	^⿰木㫋$(T)
U+329AC	𲦬	^⿰木窒$(UB)
U+329AD	𲦭	^⿰木韩$(G)
U+329AE	𲦮	^⿰木⿷匸𭔰$(T)
U+329AF	𲦯	^⿰木⿱𦣻夯$(T)
U+329B0	𲦰	^⿰木彭$(T)
U+329B1	𲦱	^⿰木𩂏$(V)
U+329B2	𲦲	^⿱敞木$(S)
U+329B3	𲦳	^⿰木⿱品亏$(T)
U+329B4	𲦴	^⿰木𭸟$(G)
U+329B5	𲦵	^⿱釆⿻𠀎木$(S)
U+329B6	𲦶	^⿰木短$(B)
U+329B7	𲦷	^⿰木⿱⿱𠂊囚⿲丿𰀁乚$(V)
U+329B8	𲦸	^⿰枚幸$(V)
U+329B9	𲦹	^⿰木⿱亯干$(S)
U+329BA	𲦺	^⿰木湯$(V)
U+329BB	𲦻	^⿱林若$(T)
U+329BC	𲦼	^⿰木碑$(V)
U+329BD	𲦽	^⿰木募$(T)
U+329BE	𲦾	^⿰木罩$(V)
U+329BF	𲦿	^⿰木蒌$(V)
U+329C0	𲧀	^⿰木⿱𥫗𭅗$(T)
U+329C1	𲧁	^⿱毀木$(B)
U+329C2	𲧂	^⿰木𰙔$(V)
U+329C3	𲧃	^⿰𰗣㐬$(G)
U+329C4	𲧄	^⿰渚未$(V)
U+329C5	𲧅	^⿱殿木$(K)
U+329C6	𲧆	^⿰木殿$(B)
U+329C7	𲧇	^⿱豩木$(B)
U+329C8	𲧈	^⿰木𧼋$(V)
U+329C9	𲧉	^⿰木睿$(K)
U+329CA	𲧊	^⿰木関$(T)
U+329CB	𲧋	^⿰木䦚$(T)
U+329CC	𲧌	^⿰木蒞$(T)
U+329CD	𲧍	^⿰果羔$(V)
U+329CE	𲧎	^⿰木舞$(B)
U+329CF	𲧏	^⿰朱紫$(V)
U+329D0	𲧐	^⿰枚唇$(V)
U+329D1	𲧑	^⿰𰗣炎$(G)
U+329D2	𲧒	^⿰木麽$(G)
U+329D3	𲧓	^⿱漸木$(S)
U+329D4	𲧔	^⿰木慼$(T)
U+329D5	𲧕	^⿰木箱$(T)
U+329D6	𲧖	^⿰梹咅$(U)
U+329D7	𲧗	^⿰木⿸尸單$(T)
U+329D8	𲧘	^⿰木⿱鳥囚$(G)
U+329D9	𲧙	^⿰木篡$(T)
U+329DA	𲧚	^⿰木聲$(T)
U+329DB	𲧛	^⿰堯相$(V)
U+329DC	𲧜	^⿰木臨$(V)
U+329DD	𲧝	^⿰束榖$(V)
U+329DE	𲧞	^⿰果債$(V)
U+329DF	𲧟	^⿰木謝$(T)
U+329E0	𲧠	^⿰木賽$(T)
U+329E1	𲧡	^⿰木彌$(K)
U+329E2	𲧢	^⿰木額$(T)
U+329E3	𲧣	^⿰木簻$(T)
U+329E4	𲧤	^⿰木⿳金⿰水火土$(B)
U+329E5	𲧥	^⿰極窒$(V)
U+329E6	𲧦	^⿰木轟$(T)
U+329E7	𲧧	^⿰木聽$(S)
U+329E8	𲧨	^⿱果懶$(V)
U+329E9	𲧩	^⿰木變$(B)
U+329EA	𲧪	^⿰木㸑$(SB)
U+329EB	𲧫	^⿰目欠$(S)
U+329EC	𲧬	^⿰⿸戶山欠$(T)
U+329ED	𲧭	^⿰𭁈欠$(V)
U+329EE	𲧮	^⿰⿱𠂉其欠$(S)
U+329EF	𲧯	^⿰感欠$(T)
U+329F0	𲧰	^⿰蕭欠$(T)
U+329F1	𲧱	^⿱口止$(GS)
U+329F2	𲧲	^⿰正井$(V)
U+329F3	𲧳	^⿱止剛$(S)
U+329F4	𲧴	^⿱正倘$(V)
U+329F5	𲧵	^⿰歳年$(V)
U+329F6	𲧶	^⿱賏正$(S)
U+329F7	𲧷	^⿰最歲$(V)
U+329F8	𲧸	^⿰歹平$(T)
U+329F9	𲧹	^⿰歹加$(B)
U+329FA	𲧺	^⿰歹表$(B)
U+329FB	𲧻	^⿰歹𭁈$(V)
U+329FC	𲧼	^⿰歹迎$(V)
U+329FD	𲧽	^⿰歹養$(T)
U+329FE	𲧾	^⿰歹簽$(T)
U+329FF	𲧿	^⿰歹靡$(S)
U+32A00	𲨀	^⿰⿳⿸厂二一几殳$(S)
U+32A01	𲨁	^⿰赤殳$(T)
U+32A02	𲨂	^⿰𰮍殳$(S)
U+32A03	𲨃	^⿱𠂊⿸𠃜比$(S)
U+32A04	𲨄	^⿺毛卜$(T)
U+32A05	𲨅	^⿺毛八$(B)
U+32A06	𲨆	^⿺毛山$(G)
U+32A07	𲨇	^⿺毛王$(T)
U+32A08	𲨈	^⿰勿毛$(T)
U+32A09	𲨉	^⿺毛主$(B)
U+32A0A	𲨊	^⿺毛如$(T)
U+32A0B	𲨋	^⿺毛别$(B)
U+32A0C	𲨌	^⿱冷毛$(GUB)
U+32A0D	𲨍	^⿱㱼毛$(S)
U+32A0E	𲨎	^⿺尾毛$(T)
U+32A0F	𲨏	^⿺毛昔$(T)
U+32A10	𲨐	^⿺毛点$(G)
U+32A11	𲨑	^⿺毛晏$(B)
U+32A12	𲨒	^⿰毛芻$(V)
U+32A13	𲨓	^⿰⿱左有毛$(S)
U+32A14	𲨔	^⿹气土$(GB)
U+32A15	𲨕	^⿹气元$(G)
U+32A16	𲨖	^⿹气公$(G)
U+32A17	𲨗	^⿹气毛$(T)
U+32A18	𲨘	^⿹气水$(G)
U+32A19	𲨙	^⿹气尼$(G)
U+32A1A	𲨚	^⿰压气$(B)
U+32A1B	𲨛	^⿹气自$(G)
U+32A1C	𲨜	^⿹气糸$(G)
U+32A1D	𲨝	^⿹气夋$(G)
U+32A1E	𲨞	^⿰肯气$(B)
U+32A1F	𲨟	^⿹气罗$(B)
U+32A20	𲨠	^⿹气金$(G)
U+32A21	𲨡	^⿹气育$(G)
U+32A22	𲨢	^⿹气阿$(G)
U+32A23	𲨣	^⿹气剋$(G)
U+32A24	𲨤	^⿹气曷$(G)
U+32A25	𲨥	^⿹气亲$(G)
U+32A26	𲨦	^⿹气臭$(B)
U+32A27	𲨧	^⿹气唐$(G)
U+32A28	𲨨	^⿹气密$(G)
U+32A29	𲨩	^⿹气紫$(G)
U+32A2A	𲨪	^⿹气黑$(G)
U+32A2B	𲨫	^⿹气㥯$(G)
U+32A2C	𲨬	^⿹气緑$(G)
U+32A2D	𲨭	^⿹气養$(G)
U+32A2E	𲨮	^⿹气鮮$(G)
U+32A2F	𲨯	^⿹气羅$(GU)
U+32A30	𲨰	^⿰氵一$(G)
U+32A31	𲨱	^⿻水丨$(B)
U+32A32	𲨲	^⿰氵二$(G)
U+32A33	𲨳	^⿰水卜$(T)
U+32A34	𲨴	^⿰氵𬼁$(U)
U+32A35	𲨵	^⿰氵三$(G)
U+32A36	𲨶	^⿰氵丈$(B)
U+32A37	𲨷	^⿰氵𬼄$(U)
U+32A38	𲨸	^⿰氵匹$(T)
U+32A39	𲨹	^⿰氵丐$(V)
U+32A3A	𲨺	^⿱水见$(G)
U+32A3B	𲨻	^⿱水牛$(G)
U+32A3C	𲨼	^⿰氵升$(K)
U+32A3D	𲨽	^⿱水文$(T)
U+32A3E	𲨾	^⿰水另$(G)
U+32A3F	𲨿	^⿰氵𠕄$(U)
U+32A40	𲩀	^⿰氵圩$(G)
U+32A41	𲩁	^⿰氵划$(G)
U+32A42	𲩂	^⿱至水$(T)
U+32A43	𲩃	^⿰汁中$(T)
U+32A44	𲩄	^⿰氵向$(TK)
U+32A45	𲩅	^⿰氵年$(K)
U+32A46	𲩆	^⿰氵伎$(T)
U+32A47	𲩇	^⿰氵竹$(T)
U+32A48	𲩈	^⿰氵企$(T)
U+32A49	𲩉	^⿰氵⿱宀夕$(B)
U+32A4A	𲩊	^⿱水羽$(T)
U+32A4B	𲩋	^⿰氵𱰤$(V)
